,kalimat,kalimat_token
165,kesulitan untuk pembayaran via qris padahal aplikasi sebelum di update aman tanpa kendala error,"['kesulitan', 'untuk', 'pembayaran', 'via', 'qris', 'padahal', 'aplikasi', 'sebelum', 'di', 'update', 'aman', 'tanpa', 'kendala', 'error']"
210,tampilan baru kirain aplikasi tambah bagus eh ternyata makin jelek ga bisa login lagi katanya idnum already exist kalo kayak gini gimana mau pesan tiketnya lagi jadi ga guna aplikasinya,"['tampilan', 'baru', 'kirain', 'aplikasi', 'tambah', 'bagus', 'eh', 'ternyata', 'makin', 'jelek', 'ga', 'bisa', 'login', 'lagi', 'katanya', 'idnum', 'already', 'exist', 'kalo', 'kayak', 'gini', 'gimana', 'mau', 'pesan', 'tiketnya', 'lagi', 'jadi', 'ga', 'guna', 'aplikasinya']"
209,semejak update pesen tiket kreta loadingnya lama banget parahhhh jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget kecewaaaa,"['semejak', 'update', 'pesen', 'tiket', 'kreta', 'loadingnya', 'lama', 'banget', 'parahhhh', 'jadi', 'ketinggalan', 'kreta', 'gara', 'gara', 'mau', 'pesen', 'tiket', 'tapi', 'loadingnya', 'gila', 'lama', 'banget', 'kecewaaaa']"
481,bagus benr bagus baik performa tampilan,"['bagus', 'benr', 'bagus', 'baik', 'performa', 'tampilan']"
480,abis tak update tampikan baru malah makin bagus dan jadi makin lancar mw cari tiket juga gampang,"['abis', 'tak', 'update', 'tampikan', 'baru', 'malah', 'makin', 'bagus', 'dan', 'jadi', 'makin', 'lancar', 'mw', 'cari', 'tiket', 'juga', 'gampang']"
327,baru buka apk aja kok udh lemot ya padhal udh di upgrade,"['baru', 'buka', 'apk', 'aja', 'kok', 'udh', 'lemot', 'ya', 'padhal', 'udh', 'di', 'upgrade']"
204,jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket ge,"['jd', 'males', 'pkenya', 'setelah', 'update', 'ga', 'bisa', 'msuk', 'loading', 'terus', 'jd', 'ribet', 'mu', 'msen', 'tiket', 'ge']"
153,saya senang dengan pembaruan aplikasi ini karena di aplikasi kai accesa saat ini saya bisa melakukan update no hp karena di aplikasi sebelumnya tidak bisa dan sering gagal di tambah fitur terbaru nya yg sangat membantu pengguna nya buat performanya juga makin canggih dan makin cepet,"['saya', 'senang', 'dengan', 'pembaruan', 'aplikasi', 'ini', 'karena', 'di', 'aplikasi', 'kai', 'accesa', 'saat', 'ini', 'saya', 'bisa', 'melakukan', 'update', 'no', 'hp', 'karena', 'di', 'aplikasi', 'sebelumnya', 'tidak', 'bisa', 'dan', 'sering', 'gagal', 'di', 'tambah', 'fitur', 'terbaru', 'nya', 'yg', 'sangat', 'membantu', 'pengguna', 'nya', 'buat', 'performanya', 'juga', 'makin', 'canggih', 'dan', 'makin', 'cepet']"
75,update nya bagus bagus bgt apalagi tampulannya jadi lebih baru,"['update', 'nya', 'bagus', 'bagus', 'bgt', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
92,aplikasinya update sendiri tp setelah ter update tidak bisa lagi melihat jadwal kereta,"['aplikasinya', 'update', 'sendiri', 'tp', 'setelah', 'ter', 'update', 'tidak', 'bisa', 'lagi', 'melihat', 'jadwal', 'kereta']"
