,kalimat,kalimat_token
554,setelah memperbarui malah makin lancar enggak lambat sebelumnya saat masuk ke aplikasinya lambat banget sekarang yang mau bli tiket atau mau berpergian naik kereta jadi mudah apalagi yang mau pergi kerja,"['setelah', 'memperbarui', 'malah', 'makin', 'lancar', 'enggak', 'lambat', 'sebelumnya', 'saat', 'masuk', 'ke', 'aplikasinya', 'lambat', 'banget', 'sekarang', 'yang', 'mau', 'bli', 'tiket', 'atau', 'mau', 'berpergian', 'naik', 'kereta', 'jadi', 'mudah', 'apalagi', 'yang', 'mau', 'pergi', 'kerja']"
9,tolong ini aplikasinya banyak banget gangguannya tolong pasti,"['tolong', 'ini', 'aplikasinya', 'banyak', 'banget', 'gangguannya', 'tolong', 'pasti']"
574,setelah memperbarui yang terbaru tampilan oke kualitasnya juga bagus banget memuat pas buka aplikasinya juga enggak lama pas mau ke pembayaran juga lancar banget pembayarannya dapat dilakukan dengan mudah ini nih aplikasi yang kita butuhkan cepat simpel dan mudah,"['setelah', 'memperbarui', 'yang', 'terbaru', 'tampilan', 'oke', 'kualitasnya', 'juga', 'bagus', 'banget', 'memuat', 'pas', 'buka', 'aplikasinya', 'juga', 'enggak', 'lama', 'pas', 'mau', 'ke', 'pembayaran', 'juga', 'lancar', 'banget', 'pembayarannya', 'dapat', 'dilakukan', 'dengan', 'mudah', 'ini', 'nih', 'aplikasi', 'yang', 'kita', 'butuhkan', 'cepat', 'simpel', 'dan', 'mudah']"
487,dari segi performa lebih baik dari versi sebelumnya suka banget sama tampilan barunya,"['dari', 'segi', 'performa', 'lebih', 'baik', 'dari', 'versi', 'sebelumnya', 'suka', 'banget', 'sama', 'tampilan', 'barunya']"
572,mau masuk lancar banget proses ke pembayaran juga lancar sampai sampai waktu pembayaran hanya butuh waktu yang cepat enggak lama ini aplikasi super lancar dari segala segalanya,"['mau', 'masuk', 'lancar', 'banget', 'proses', 'ke', 'pembayaran', 'juga', 'lancar', 'sampai', 'sampai', 'waktu', 'pembayaran', 'hanya', 'butuh', 'waktu', 'yang', 'cepat', 'enggak', 'lama', 'ini', 'aplikasi', 'super', 'lancar', 'dari', 'segala', 'segalanya']"
602,diperbarui malah lancar banget yang dahulu rada lemot soalnya buat pesan tiket bayarnya lebih mudah sekarang,"['diperbarui', 'malah', 'lancar', 'banget', 'yang', 'dahulu', 'rada', 'lemot', 'soalnya', 'buat', 'pesan', 'tiket', 'bayarnya', 'lebih', 'mudah', 'sekarang']"
360,yang baru lucu tetapi lambat parah,"['yang', 'baru', 'lucu', 'tetapi', 'lambat', 'parah']"
84,pembaruannya bagus bagus banget apalagi tampulannya jadi lebih baru,"['pembaruannya', 'bagus', 'bagus', 'banget', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
165,kesulitan untuk pembayaran via qris padahal aplikasi sebelum diperbarui aman tanpa kendala eror,"['kesulitan', 'untuk', 'pembayaran', 'via', 'qris', 'padahal', 'aplikasi', 'sebelum', 'diperbarui', 'aman', 'tanpa', 'kendala', 'eror']"
210,tampilan baru dikira aplikasi tambah bagus eh ternyata makin jelek enggak bisa masuk lagi katanya idnum already exist kalau kayak begini bagaimana mau pesan tiketnya lagi jadi enggak guna aplikasinya,"['tampilan', 'baru', 'dikira', 'aplikasi', 'tambah', 'bagus', 'eh', 'ternyata', 'makin', 'jelek', 'enggak', 'bisa', 'masuk', 'lagi', 'katanya', 'idnum', 'already', 'exist', 'kalau', 'kayak', 'begini', 'bagaimana', 'mau', 'pesan', 'tiketnya', 'lagi', 'jadi', 'enggak', 'guna', 'aplikasinya']"
