,kalimat,kalimat_token
380,setelah diperbarui ke fitur baru jadi lambat banget,"['setelah', 'diperbarui', 'ke', 'fitur', 'baru', 'jadi', 'lambat', 'banget']"
177,setelah diperbarui malah makin mudah untuk metode pembayaran dapat lewat ovo tautan saja dana,"['setelah', 'diperbarui', 'malah', 'makin', 'mudah', 'untuk', 'metode', 'pembayaran', 'dapat', 'lewat', 'ovo', 'tautan', 'saja', 'dana']"
286,aplikasi baru alhamdulillah lancar mau pesan tiket kak lokal jadi lebih gampang,"['aplikasi', 'baru', 'alhamdulillah', 'lancar', 'mau', 'pesan', 'tiket', 'kak', 'lokal', 'jadi', 'lebih', 'gampang']"
188,setelah memperbarui jadi pengguna dan enggak ribet qris juga sudah ke deteksi waktu bayar enggak perlua waktu lama buat bayarnya cepat langsung bisa selesai,"['setelah', 'memperbarui', 'jadi', 'pengguna', 'dan', 'enggak', 'ribet', 'qris', 'juga', 'sudah', 'ke', 'deteksi', 'waktu', 'bayar', 'enggak', 'perlua', 'waktu', 'lama', 'buat', 'bayarnya', 'cepat', 'langsung', 'bisa', 'selesai']"
575,sudah perbarui jadi makin bagus malah jadi makin memudahkan saat pembayaran menggunakan wallet jadi mudah sekali lebih bagus daripada kai access versi lama,"['sudah', 'perbarui', 'jadi', 'makin', 'bagus', 'malah', 'jadi', 'makin', 'memudahkan', 'saat', 'pembayaran', 'menggunakan', 'wallet', 'jadi', 'mudah', 'sekali', 'lebih', 'bagus', 'daripada', 'kai', 'access', 'versi', 'lama']"
244,eror daftar pesanan kosong ditingkatkan gagal terus tumbid siap harga promo enggak bisa dipesan ditingkatkan begitu terus,"['eror', 'daftar', 'pesanan', 'kosong', 'ditingkatkan', 'gagal', 'terus', 'tumbid', 'siap', 'harga', 'promo', 'enggak', 'bisa', 'dipesan', 'ditingkatkan', 'begitu', 'terus']"
81,aplikasinya mempermudah dan bagus,"['aplikasinya', 'mempermudah', 'dan', 'bagus']"
318,sangat lambat,"['sangat', 'lambat']"
228,sudah perbarui ui yang baru tetapi kualitas makin buruk mau lihat jadwal kerlu dari jalur rangkas tanah abang saja enggak bisa,"['sudah', 'perbarui', 'ui', 'yang', 'baru', 'tetapi', 'kualitas', 'makin', 'buruk', 'mau', 'lihat', 'jadwal', 'kerlu', 'dari', 'jalur', 'rangkas', 'tanah', 'abang', 'saja', 'enggak', 'bisa']"
63,terima kasih tampilan baru lebih intuitif,"['terima', 'kasih', 'tampilan', 'baru', 'lebih', 'intuitif']"
