,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
36,0.2620418866475423,0.00955103788014493,0.1043550173441569,0.0022272060173819056,1,1,linear,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.2956989247311828,0.3602150537634409,0.32972972972972975,0.3285479027414511,0.026351853351638737,3
37,0.5022558371225992,0.056300287000191275,0.5360372066497803,0.09432363708903374,1,1,rbf,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.15591397849462366,0.1774193548387097,0.21081081081081082,0.18138138138138138,0.02258596600150219,21
38,0.7098062038421631,0.09408872806929768,0.32266076405843097,0.020427902339491863,1,1,poly,"{'classifier__C': 1, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}",0.053763440860215055,0.04838709677419355,0.08648648648648649,0.06287900804029836,0.01683668708254393,36
39,0.2677902380625407,0.011258769737794702,0.10409688949584961,0.003294871275846434,1,0.1,linear,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.2956989247311828,0.3602150537634409,0.32972972972972975,0.3285479027414511,0.026351853351638737,3
40,0.29338852564493817,0.006588521842652071,0.28697601954142254,0.003933106554613262,1,0.1,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.053763440860215055,0.05913978494623656,0.08108108108108109,0.06466143562917757,0.011816086111948872,35
41,0.1809378465016683,0.004257278243970073,0.07063714663187663,0.0006733471503838688,1,0.1,poly,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
42,0.26600448290507,0.008296697533504208,0.10793264706929524,0.0005302636572634783,1,0.01,linear,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.2956989247311828,0.3602150537634409,0.32972972972972975,0.3285479027414511,0.026351853351638737,3
43,0.2693942387898763,0.013314696301592337,0.2602345943450928,0.007828926136349756,1,0.01,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
44,0.17206231753031412,0.0023694921575250333,0.06749614079793294,0.002373492662257117,1,0.01,poly,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
45,0.2846956253051758,0.025901187391797822,0.13117782274881998,0.028128010976216793,0.1,100,linear,"{'classifier__C': 0.1, 'classifier__gamma': 100, 'classifier__kernel': 'linear'}",0.021505376344086023,0.03225806451612903,0.043243243243243246,0.03233556136781943,0.008874616185236228,37
46,0.748755931854248,0.055777972032746294,0.7550021012624105,0.09217193128892835,0.1,100,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 100, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
47,0.6371027628580729,0.005937598913968099,0.29601414998372394,0.004873645044098949,0.1,100,poly,"{'classifier__C': 0.1, 'classifier__gamma': 100, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
48,0.26931126912434894,0.006813635651961718,0.11035601298014323,0.0022157092946080317,0.1,10,linear,"{'classifier__C': 0.1, 'classifier__gamma': 10, 'classifier__kernel': 'linear'}",0.021505376344086023,0.03225806451612903,0.043243243243243246,0.03233556136781943,0.008874616185236228,37
49,0.6455744902292887,0.02101803095687333,0.6903025309244791,0.01958810192560283,0.1,10,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 10, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
50,0.7548986275990804,0.0908591843030725,0.3508025010426839,0.036718928038687176,0.1,10,poly,"{'classifier__C': 0.1, 'classifier__gamma': 10, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
51,0.26586588223775226,0.013214433116350647,0.10898582140604655,0.004425049266310465,0.1,1,linear,"{'classifier__C': 0.1, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.021505376344086023,0.03225806451612903,0.043243243243243246,0.03233556136781943,0.008874616185236228,37
52,0.42767683664957684,0.005395273038576794,0.4269703229268392,0.011582615956916894,0.1,1,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
53,0.5746235847473145,0.02296140322124924,0.2684183120727539,0.012613662267318016,0.1,1,poly,"{'classifier__C': 0.1, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
54,0.26801228523254395,0.01285333773178607,0.11107643445332845,0.0033082554379164283,0.1,0.1,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.021505376344086023,0.03225806451612903,0.043243243243243246,0.03233556136781943,0.008874616185236228,37
55,0.2811799844106038,0.008024840793801216,0.26265525817871094,0.010921549373161091,0.1,0.1,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
56,0.21915253003438315,0.009930598423140872,0.09159604708353679,0.0023569624640802683,0.1,0.1,poly,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
57,0.3499186038970947,0.007968545510785695,0.1509718100229899,0.006399733818537164,0.1,0.01,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.021505376344086023,0.03225806451612903,0.043243243243243246,0.03233556136781943,0.008874616185236228,37
58,0.22900875409444174,0.018837915440995535,0.19244654973347983,0.009885905888922493,0.1,0.01,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
59,0.1749558448791504,0.004565232457174325,0.07001272837320964,0.002993770141768775,0.1,0.01,poly,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
