,kalimat
403,"saya pelanggan setia kali merasa paus dengan versi terbarunya memudahkan dalam segala hal pesan tiket mudah, cek tiket kereta mudah, bayarnya mudah, fitur tambahan yang juga berguna bagi saya. salutnya dengan tambahan fitur yang banyak tapi masih lancar terus enggak lambat lambat"
333,sejak diperbarui malah makin mudah aplikasinya enggak lambat lagi. mudah sekali ketika cek tiket dan ketika menyelesaikan langkah setep setelah isi data penumpang. pembaruan terbaru ini sangat membantu saya puas
419,banyak alat-alat tetapi lambat. suka time out.
281,"habis tak memperbarui tampilkan baru malah makin bagus dan jadi makin lancar, mau cari tiket juga gampang"
272,sudah banyak plusnya daripada yang lama metode pembayaran juga banyak beli tiket ka jadi sangat mudah banget lacar juga
500,"mau masuk lancar banget, proses ke pembayaran juga lancar, sampai-sampai waktu pembayaran hanya butuh waktu yang cepat enggak lama. ini aplikasi super lancar dari segala-segalanya"
69,"baru diperbarui aplikasinya lancar terus, enggak bikin menggunakan lama"
261,tampilan oke pemesanan cepat langsung dapat
428,"aplikasi mudah digunakan, enggak ribet mau ganti jadwal pembatalan tiket cukup lewat aplikasi."
545,"versi baru memang lebih menarik dengan tanpilan dan fitur baru, saya pesan tiket enggak usah dapat enggak ada lagi tuh macet lambat semua lancar-lancar saja. kalau saya suka dengan pembayaran qrisnya lebih simel"
421,setelah diperbarui ke fitur baru jadi lambat banget :(((
231,lebih mudah memakai aplikasi ini untuk pergi jauh dan tidak perlu repot-repot mengantre lebih cepat juga
271,jadi ribet pengoperasiannya
149,lancar banget. mau melakukan pembayaran juga gampang
124,"lebih baik jangan diperbarui dahulu, memang dari segi ui bagus, cuma masih banyak eror"
568,"sangat lancar buat pesan tiket kereta, pesan hotel juga bisa lewat kai sekarang"
494,"tampilan baru dikira aplikasi tambah bagus eh ternyata makin jelek, enggak bisa masuk lagi katanya idnum already exist, kalau kayak begini bagaimana mau pesan tiketnya lagi? jadi enggak guna aplikasinya"
185,"fiturnya lebih ribet & membingungkan. lebih simpel aplikasi sebelumnya., dy (tm)"
329,"pembaruan versi terbaru benar-benar makin bagus deh deh galam banget, sangat memudahkan daripada versi lama"
600,"aplikasinya kebanyakan fitur jembot, kebanyakan kreatif aplikasinya sampai enggak bisa dipakai"
473,"mau masuk lancar banget, proses ke pembayaran juga lancar, sampai-sampai waktu pembayaran hanya butuh waktu yang cepat enggak lama. ini aplikasi super lancar dari segala-segalanya"
302,biasanya lambat pol. tetapi setelah memperbarui malah lancar terus
247,sudah perbarui versi terbaru tampilanya gemas banget suka malah lancar banget juga
31,"makin di meningkatkan makin lancar pesan tiket juga makin mudah, tetapilannya juga lebih mordern suka banget lebih segar"
531,semenjak meningkatkan makin lancar untuk pembayaran makin memudahkan
388,"aplikasinya membantu banget apalagi kalau misalkan lagi butuh cepat tiket kereta, ditambah lagi bisa pesanan makanan via aplikasi juga"
581,"setelah memperbarui malah enggak lambat masuknya, dari segi tampilan makin oke dan performanya makin baik"
482,lemot banget buat beli dan cari tiket malah tambah enggak enak lunya aduh
607,"lebih baik jangan diperbarui dahulu, memang dari segi ui bagus, cuma masih banyak eror"
114,semenjak perbaruan pesan tiket kereta memuatnya lama banget. parah. jadi ketinggalan kereta gara-gara mau pesan tiket tetapi memuatnya gila lama banget. kecewa.
203,"makin di meningkatkan makin lancar pesan tiket juga makin mudah, tetapilannya juga lebih mordern suka banget lebih segar"
141,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
444,mata saya lebih nyaman dengan warna biru khas kai daripada yang unggu
312,tampilan baru malah makin buruk.
7,kok tiba-tiba perbarui kaget sama logo dan mana barunya tetapi jadi makin lancar sih
535,aplikasi bagus banget setelah diperbarui sudah tidak ada eror dan lancar banget
19,"setelah memperbarui aplikasi jadi lambat sekali, sering tiba-tiba keluar sendiri, susah saat mau membeli tiket dan menyulitkan saat pemboardan"
172,"dapat pesan tiket sambil rebahandy ~, mudah pilih kursi sesuai selerady ~ ke"
479,"lancar di telepon selulerku tetapi dengan spesifikasi lumayan tinggi lo, enggak tahu kok orang-orang bilanyalamot banget tetapi di aku lancar. banyak promo hotel juga"
478,"penyegaran ui / ux nya sangat membantu sekali, terus tingkatkan pelayanan dan pengembangan aplikasi, selalu terima masukan dari pengguna jadikan bahan evaluasi agar lebih baik lagi."
25,mata saya lebih nyaman dengan warna biru khas kai daripada yang unggu
398,tampilannya lebih suka yang dahulu lebih ikonis dy (tm) f
470,"kualitasnya lebih baik untuk baru diperbarui, saya mau pesan tiket juga makin mudah sudah tidak eror dan lambat"
368,selaraskan antara kebijakan dan keandalan aplikasinya. jangan buat peraturan untuk calon penumpang kereta lokal harus pesan tiket lewat aplikasi tetapi aplikasinya tak bisa diandalkan. kecepatan pelayanan melalui aplikasi juga menjadi daya tarik calon penumpang. jangan sampai membuat penumpang menjadi kurang nyaman dengan performa aplikasi yang buruk.
433,setelah diperbarui dan tampilan baru malah lebih. parah erornya. memuat lama. lemot.. malah setelah pembaruan data untuk berubah bagaimana ini tim. it-nya
245,"semenjak perbarui aplikasi sudah enggak lambat, tetapi tampilan membingungkan. kereta yang penuh masih muncul untungnya pesan tiket sama bayarnya aman dan gampang banget."
334,"pembaruan otomatis, biasanya tiket kereta yang sudah habis enggak ditampilkan ini yang sudah habis ditampilkan kira masih tersedia"
154,"begini dong lancar servernya yang kemarin kok koneksinya timeout terus, kalau diplikasi yang baru bisa saat set pesan tiket"
126,"saat ini aplikasinya malah jadi kurang membantu detail kendala. memuatnya lama sekali, saat mau cek jadwal komuter line susah sekali mencari nama stasiun. memakan banyak waktu memuat namun hasil pencarian malah tidak keluar."
363,"tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, terima kasih kai aplikasinya bagus dan lancar tidak ada masalah"
113,"dari segi performa kai akses terbaru lebih baik daripada sebelumnya, pesan tiek makin mudah dan bayarnya bisa pakai qris ada fiturbuat pesan hotel juga lengkap"
173,"setelah memperbarui malah makin lancar enggak lambat, sebelumnya saat masuk ke aplikasinya lambat banget, sekarang yang mau bli tiket atau mau berpergian naik kereta jadi mudah apalagi yang mau pergi kerja"
57,pembayaran enggak ribet pakai kaipay makin mempermudah pengguna kai buat pesan tiket sih ini fiturbarunya satset parah lagi
340,"lambat banget si habis meningkatkan tetapi kualitas malah unduh, bolak-balik pemesanan tinggal bayar saja lemotnya masyaallah. mau apa sih"
222,"mudah buat cari dan pesan tiket, kemarin sudah transaksi qris sukses tiket buat besok pp sangat memudahkan enggak perlu bingung-bingung lagi."
17,diperbarui malah bisa beli tiket dengan mudah. lancar terus. ui-nya yang diperbaiki juga lebih keren. lebih baik dari versi yang lama. versi yang baru bagus banget performanya.
316,kai pancen oke.
255,"setelah diperbarui malah makin mudah untuk metode pembayaran dapat lewat ovo, tautan saja, dana"
505,setelah diperbarui ke fitur baru jadi lambat banget :(((
589,"kualitasnya lebih baik untuk baru diperbarui, saya mau pesan tiket juga makin mudah sudah tidak eror dan lambat"
190,sejak diperbarui malah makin mudah aplikasinya enggak lambat lagi. mudah sekali ketika cek tiket dan ketika menyelesaikan langkah setep setelah isi data penumpang. pembaruan terbaru ini sangat membantu saya puas
367,"setelah diperbarui malah makin mudah untuk metode pembayaran dapat lewat ovo, tautan saja, dana"
541,pakai aplikasi dahulu setiap mau pesan tiket sering gagal tetapi di aplikasi sekarang selalu berhasil dan lebih cepat juga tidak lambat
321,tampilan oke pemesanan cepat langsung dapat
94,"lemot saat masuk menu. saat lambat kadang akun sudah keluar, lalu saat masuk lagi sudah masuk."
180,"versi terbaru, tetapi makin buruk. masuk via surel dan nomor telepon seluler tetap saja berkecambah"
527,"sudah perbarui bukannya makin bagus malah jadi makin membuat emosi, saat pembayaran menggunakan e-wallet jadi susah sekali, kata sandi ovo yang saya punya tidak bisa muncul dan dikatakan pembayaran gagal padahal saya sudah perbarui ovo, kesal banget. lebih bagus kai access versi lama."
350,"parah enak versi dahulu. dahulu enggak bingung mau lihat tiket yang sudah dipesan di mana, sekarang kebanyakan printilan-printilan yang enggak guna banget sumpah"
456,"aplikasi enggak guna, kalau enggak bisa mengoperasikan aplikasi mending tidak saja, malah ditiadakan tidak aktif"
605,"bagus nih, tampilan enak dilihat, tetapi di gua enggak lambat kok tampilannya, enteng juga aplikasinya enggak berat"
5,pakai aplikasi dahulu setiap mau pesan tiket sering gagal tetapi di aplikasi sekarang selalu berhasil dan lebih cepat juga tidak lambat
45,aplikasi baru alhamdulillah. lancar mau pesan tiket kak lokal jadi lebih gampang
311,lancar banget tidak kendala waktu mau pembayaran malah jadi efektif
412,lancar banget tidak kendala waktu mau pembayaran malah jadi efektif
485,fiturnya banyak. sepaket lambat juga minta ampun.
16,"sudah perbarui, ui yang baru tetapi kualitas makin buruk. mau lihat jadwal kerlu dari jalur rangkas - tanah abang saja enggak bisa"
48,bagus lancar.
595,"sebelumnya saya sudah beli tiket pakai aplikasi lama, terus saya cek. di aplikasi tiket saya hilang tuh. pertanggungjawabannya bagaimana?"
561,solusi pembelian tiket kereta api yang mudah
3,tampilan yang makin memudahkan
357,"aplikasinya kebanyakan fitur jembot, kebanyakan kreatif aplikasinya sampai enggak bisa dipakai"
465,"setelah memperbarui enggak ada masalah, masuk aman, cek fitur lain aman, aplikasinya lebih lembut. padahal telepon selulerku kentang lo dy? ps"
407,aplikasinya mempermudah dan bagus
496,saya senang dengan pembaruan aplikasi ini. karena di aplikasi kai accesa saat ini saya bisa melakukan perbarui nomor telepon seluler. karena di aplikasi sebelumnya tidak bisa dan sering gagal. ditambah fitura-fitura terbarunya yang sangat membantu penggunanya. buat performanya juga makin canggih dan makin cepat
320,dalam proses pemesanan tiket lebih mudah dan tidak memakan waktu memakan waktu lama lebih baik daripada versi yang dahulu
225,"tambah lambat, fitur tambah tetapi sistem enggak mendukung"
26,"setelah memperbarui malah lambat, susah melakukan pemesanan, tolong diperbaiki"
450,"pembaruan terbaru, tampilan terbaru, bukannya memperbaiki, malah mempersulit, tiket sudah habis untuk apa masih pada menongol. lebih suka tampilan yang lama, simpel dan tidak beribet"
263,"aplikasi perbaruan terbaru bagus, tetapi saran aku baiknya harga-harga tiket yang sudah habis terjual, ditaruh paling bawah seperti aplikasi sebelumnya supaya enggak bingung. kalau sekarang dikira masih ada tiketnya, ternyata tidak sesuai harapan."
50,"cepat senyap, simpel. oh berangkat."
229,"poin penting ulasan kai access > access by kai 1. dari semua yang paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk, biarkan itu dipesan sendiri. karena menurut saya jadi tidak efisien saat masa hari raya yang lalu lintas pemesanan tiket padat, apalagi jika dikejar waktu. 2. kemudian pemilihan kursi, tampilan denah kursi terlalu besar sehingga harus gulir lama dan tidak ramah penggunaan, begitu kiga dengan opsi gerbong yang ada di bawah seperti itu."
37,"ditingkatkan malah tambah lancar, dari proses masuk sampai pambayran tiket"
157,di meningkatkan tambah satset
237,aplikasi versi lama suka lama kalau sudah masuk ke pembayaran tetapi versi baru ini jadi lebih lancar dan mudah buat cari & pesan tieknya
590,aplikasinya sangat mudah digunakan tambah bagus dan tidak lambat
175,yang baru lucu tetapi lambat parah.
517,baru buka aplikasi saja kok sudah lambat ya? padahal sudah ditingkatkan
369,"setelah ditingkatkan jadi susah pesan tiketnya, sering pesan dengan metode pembayaran tautan saja, padahal di telepon seluler sudah terpasang aplikasinya tetapi disuruh unduh"
